lambda	absorption
891	 0.059235
890	 0.058314
888	 0.057454
887	 0.056527
885	 0.055661
883	 0.054649
882	 0.053856
880	 0.052979
879	 0.052038
877	 0.051154
876	 0.050495
874	 0.049604
873	 0.048941
871	 0.048332
870	 0.047521
868	 0.047052
866	 0.04658
865	 0.046052
864	 0.045524
862	 0.045047
861	 0.044661
859	 0.044326
858	 0.043792
856	 0.043601
855	 0.043064
853	 0.042723
851	 0.042232
850	 0.041986
849	 0.042036
848	 0.041493
846	 0.041145
845	 0.040748
843	 0.040397
842	 0.039997
840	 0.039494
839	 0.039092
838	 0.038539
836	 0.037879
835	 0.037022
833	 0.036055
832	 0.034588
831	 0.032966
829	 0.031075
828	 0.029139
826	 0.027689
825	 0.026199
824	 0.025163
822	 0.02446
821	 0.023878
820	 0.023294
818	 0.023043
817	 0.022764
816	 0.022484
814	 0.02223
813	 0.022103
812	 0.021976
810	 0.021875
809	 0.021902
808	 0.021773
807	 0.021956
805	 0.022011
804	 0.022038
803	 0.022222
801	 0.022434
800	 0.022462
799	 0.022805
797	 0.023178
796	 0.023365
795	 0.023552
794	 0.02374
792	 0.024117
791	 0.024465
790	 0.024656
789	 0.025005
787	 0.025229
786	 0.02558
785	 0.025933
784	 0.026127
783	 0.02632
781	 0.026549
780	 0.026905
779	 0.027101
778	 0.027297
776	 0.027529
775	 0.027565
774	 0.027763
773	 0.027799
772	 0.027998
770	 0.028234
769	 0.02827
768	 0.028307
767	 0.028344
766	 0.028545
765	 0.028582
763	 0.028657
762	 0.028695
761	 0.028733
760	 0.028605
759	 0.028643
758	 0.028681
756	 0.028756
755	 0.028794
754	 0.028666
753	 0.028704
752	 0.028575
751	 0.028613
750	 0.028484
748	 0.02856
747	 0.02843
746	 0.028468
745	 0.028338
744	 0.028376
743	 0.028245
742	 0.028113
741	 0.027982
740	 0.02768
739	 0.027377
738	 0.026733
736	 0.026123
735	 0.025304
734	 0.024482
733	 0.023144
732	 0.021974
731	 0.020801
730	 0.019624
729	 0.018444
728	 0.017607
727	 0.016646
726	 0.015924
725	 0.015253
724	 0.014667
723	 0.014061
722	 0.013489
721	 0.01295
719	 0.012427
718	 0.011901
717	 0.01141
716	 0.010952
715	 0.010492
714	 0.010067
713	 0.009694
712	 0.009301
711	 0.008979
710	 0.008655
709	 0.008401
708	 0.008147
707	 0.007927
706	 0.007725
705	 0.007522
704	 0.007354
703	 0.00715
702	 0.006981
701	 0.00683
700	 0.006678
699	 0.006526
698	 0.006391
697	 0.006256
696	 0.006139
695	 0.006021
694	 0.005921
693	 0.005803
692	 0.00572
691	 0.005638
690	 0.005536
689.7	 0.00543
689	 0.005362
688	 0.005315
687	 0.00525
686	 0.005202
685	 0.005173
684	 0.005126
683	 0.005078
682	 0.00503
681	 0.005038
680	 0.005008
679	 0.004978
678	 0.00493
677	 0.0049
676	 0.004908
676	 0.004852
675	 0.004859
674	 0.00481
673	 0.00478
672	 0.004768
671	 0.004757
670	 0.004745
669	 0.004734
668	 0.004665
667	 0.004672
667	 0.004654
